Name,Price,Shadow Size,Swimming Pattern,Time
Abalone,2000,Medium,Moderate consistent movement,4pm - 9am
Acorn barnacle,600,Tiny,Stationary,All day
Dungeness crab,1900,Medium,Moderate consistent movement,All day
Lobster,4500,Large,Quick,All day
Mantis shrimp,2500,Small,Quick short lunges,4pm - 9am
Octopus,1200,Medium,Slow long lunges,All day
Oyster,1100,Small,Slow short lunges,All day
Pearl oyster,2800,Small,Moderate long lunges,All day
Red king crab,8000,Large,Quick,All day
Scallop,1200,Medium,Slow long lunges,All day
Sea anemone,500,Large,Stationary,All day
Sea cucumber,500,Medium,Slow consistent movement,All day
Sea pig,10000,Small,Quick long lunges,4pm - 9am
Sea slug,600,Tiny,Slow consistent movement,All day
Sea star,500,Small,Slow short lunges,All day
Seaweed,600,Large,Stationary,All day
Snow crab,6000,Large,Quick short lunges,All day
Sweet shrimp,1400,Small,Slow Movement,4pm - 9am
Venus' flower basket,5000,Medium,Quick long lunges,All day
Whelk,1000,Small,Slow consistent movement,All day
